French,Spanish,English,FrCommon
déshydrater,deshidratar,to dehydrate,Rare
désillusionner,desilusionar,to disillusion,Less Common
désincarner,desencarnar,to disembody,Rare
désincruster,desincrustar,to remove incrustations,Rare
désinfecter,desinfectar,to disinfect,Common
désinscrire,desinscribir,to unsubscribe,Less Common
désintéresser,desinteresar,to disinterest,Less Common
désintoxiquer,desintoxicar,to detoxify,Less Common
désobéir,desobedecer,to disobey,Common
désobliger,desobligar,to disoblige,Less Common
désodoriser,desodorizar,to deodorize,Less Common
désoler,desolar,to desolate,Common
désorganiser,desorganizar,to disorganize,Less Common
désorienter,desorientar,to disorient,Common
désosser,deshuesar,to debone,Less Common
dessaisir,desposeer,to dispossess,Rare
dessaler,desalar,to desalt,Less Common
dessécher,secar,to dry out,Less Common
desserrer,aflojar,to loosen,Less Common
desservir,servir mal,to serve poorly,Common
dessouder,desoldar,to unsolder,Rare
destiner,destinar,to destine,Common
destituer,destituir,to dismiss,Less Common
désunir,desunir,to disunite,Less Common
détacher,desatar,to detach,Very Common
détailler,detallar,to detail,Common
détecter,detectar,to detect,Very Common
détendre,relajar,to relax,Very Common
se détendre,relajarse,to relax oneself,Common
déterrer,desenterrar,to unearth,Common
détraquer,desajustar,to derail,Less Common
détruire,destruir,to destroy,Very Common
détourner,desviar,to divert,Common
détromper,desengañar,to undeceive,Less Common
dévaloriser,devaluar,to devalue,Less Common
dévaliser,desvalijar,to rob,Common
développer,desarrollar,to develop,Very Common
devenir,devenir,to become,Very Common
déverrouiller,desbloquear,to unlock,Less Common
devoir,deber,to owe,Very Common
dévorer,devorar,to devour,Common
dévisager,mirar,to look at,Less Common
dévoiler,revelar,to reveal,Very Common
dévisser,desenroscar,to unscrew,Common
diagnostiquer,diagnosticar,to diagnose,Common
dicter,dictar,to dictate,Common
diffamer,difamar,to defame,Less Common
différencier,diferenciar,to differentiate,Common
diffuser,difundir,to broadcast,Very Common
digérer,digerir,to digest,Common
dilapider,derrochar,to squander,Less Common
dilater,dilatar,to dilate,Less Common
diluer,diluir,to dilute,Less Common
diminuer,disminuir,to diminish,Very Common
dîner,cenar,to dine,Very Common
diriger,dirigir,to direct,Very Common
se diriger,dirigirse,to head towards,Common
discerner,discernir,to discern,Common
discontinuer,descontinuar,to discontinue,Rare
discourir,discursar,to discourse,Less Common
discréditer,desacreditar,to discredit,Common
discuter,discutir,to discuss,Very Common
disjoncter,desconectar,to disconnect,Less Common
disparaître,desaparecer,to disappear,Very Common
disperser,dispersar,to disperse,Common
dissimuler,disimular,to dissimulate,Common
dissiper,disipar,to dissipate,Less Common
dissocier,disociar,to dissociate,Common
dissoudre,disolver,to dissolve,Common
distancer,distanciar,to distance,Less Common
distiller,destilar,to distill,Less Common
distraire,distraer,to distract,Common
distribuer,distribuir,to distribute,Very Common
diverger,divergir,to diverge,Less Common
diviser,dividir,to divide,Very Common
divorcer,divorciar,to divorce,Common
divulguer,divulgar,to disclose,Common
documenter,documentar,to document,Common
domestiquer,domesticar,to domesticate,Less Common
domicilier,domiciliar,to domicile,Rare
dominer,dominar,to dominate,Very Common
dompter,domar,to tame,Less Common
donner,dar,to give,Very Common
dorer,dorar,to gild,Common
dorloter,mimar,to pamper,Less Common
dormir,dormir,to sleep,Very Common
doser,dosificar,to dose,Less Common
doter,dotar,to endow,Common
doubler,doblar,to double,Very Common
doucher,duchar,to shower,Common
douter,dudar,to doubt,Very Common
se douter,sospechar,to suspect,Common
draguer,dragar,to dredge,Common
drainer,drenar,to drain,Less Common
dramatiser,dramatizar,to dramatize,Less Common
draper,drapear,to drape,Less Common
dresser,erigir,to erect,Common
droguer,drogar,to drug,Less Common
duper,engañar,to deceive,Less Common
dupliquer,duplicar,to duplicate,Less Common
durer,durar,to last,Very Common
dynamiser,dinamizar,to energize,Less Common
dynamiter,dinamitar,to dynamite,Rare
ébahir,asombrar,to astonish,Less Common
ébarber,desbarbar,to deburr,Rare
ébattre,retozar,to frolic,Rare
ébaucher,esbozar,to sketch,Less Common
éberluer,asombrar,to amaze,Less Common
éblouir,deslumbrar,to dazzle,Common
éborgner,cegar,to blind,Rare
ébouillanter,escaldar,to scald,Less Common
ébourgeonner,desyemar,to remove buds,Rare
ébouriffer,despeinar,to tousle,Less Common
ébrancher,desramar,to prune,Less Common
ébranler,sacudir,to shake,Common
ébrécher,desportillar,to chip,Rare
ébrouer,refunfuñar,to snort,Rare
ébruiter,divulgar,to divulge,Less Common
écailler,escamar,to scale,Less Common
écarlater,enrojecer,to turn red,Rare
écarquiller,abrir mucho,to open wide,Less Common
écarter,apartar,to move apart,Very Common
échafauder,esbozar,to sketch,Less Common
échanger,intercambiar,to exchange,Very Common
échantillonner,muestrear,to sample,Less Common
échapper,escapar,to escape,Very Common
échauffer,calentar,to heat up,Less Common
échelonner,escalonar,to stagger,Less Common
échiner,cansar,to tire out,Rare
éclaircir,aclarar,to clarify,Common
éclairer,iluminar,to illuminate,Very Common
éclater,estallar,to burst,Very Common
éclore,eclosionar,to hatch,Less Common
écluser,transitar por esclusas,to pass through locks,Rare
écoeurer,dar asco,to disgust,Less Common
éconduire,despedir,to dismiss,Rare
économiser,ahorrar,to save,Common
écoper,achicar,to bail out,Less Common
écorcer,descortezar,to debark,Rare
écorner,desmochar,to dehorn,Less Common
écosséger,descascarillar,to hull,Rare
écouter,escuchar,to listen,Very Common
écrabouiller,aplastar,to squash,Less Common
écraser,aplastar,to crush,Very Common
écrémer,desnatar,to skim,Less Common
écrire,escribir,to write,Very Common
écroûter,encostrar,to form a crust,Rare
écumer,espumar,to foam,Less Common
édenter,desdentarse,to lose teeth,Rare
éditer,editar,to edit,Common
édulcorer,endulzar,to sweeten,Rare
éduquer,educar,to educate,Common
éfauler,efoliar,to defoliate,Rare
effacer,borrar,to erase,Very Common
effarer,asustar,to scare,Rare
effaroucher,espantar,to startle,Rare
effectuer,realizar,to carry out,Very Common
effeminer,afeminar,to effeminate,Rare
effeuiller,deshojar,to defoliate,Less Common
effiler,desflecar,to unravel,Less Common
effilocher,deshilachar,to fray,Less Common
effleurer,rozar,to brush lightly,Common
effluver,exhalar,to exhale,Rare
effondrer,derrumbar,to collapse,Common
efforcer,esforzarse,to strive,Common
effrayer,asustar,to frighten,Common
égayer,alegrar,to cheer up,Less Common
égaliser,igualar,to equalize,Less Common
égarer,extraviar,to mislead,Common
égayer,alegrar,to cheer up,Less Common
égosiller,desgargantar,to strain one's voice,Less Common
égrainer,desgranar,to de-grain,Less Common
éjeter,eyectar,to eject,Rare
élaborer,elaborar,to elaborate,Very Common
élancer,lanzar,to launch,Less Common
élargir,ensanchar,to widen,Very Common
élever,elevar,to raise,Very Common
élider,elidir,to elide,Rare
éliminer,eliminar,to eliminate,Very Common
élire,elegir,to elect,Very Common
éloigner,alejar,to move away,Very Common
élucider,elucidar,to elucidate,Common
éluder,eludir,to elude,Less Common
émailler,esmaltar,to enamel,Less Common
émanciper,emancipar,to emancipate,Less Common
émaner,emanar,to emanate,Less Common
émerger,emerger,to emerge,Common
émarger,desbastar,to edge,Rare
émasculer,emasculizar,to emasculate,Rare
emballer,embalar,to wrap up,Very Common
embarbouiller,embarbullar,to mess up,Rare
embarquer,embarcar,to embark,Very Common
embarrasser,avergonzar,to embarrass,Common
embastiller,encarcelar,to imprison,Rare
embaucher,contratar,to hire,Very Common
embaumer,embalsamar,to embalm,Less Common
embellir,embellecer,to beautify,Common
embêter,molestar,to annoy,Very Common
emblaver,sembrar,to sow,Rare
embobiner,enrollar,to wind,Less Common
emboîter,ensamblar,to assemble,Less Common
emboucher,embocar,to mouth,Rare
embourgeoiser,aburguesar,to become bourgeois,Rare
embouteiller,embotellar,to bottle,Less Common
emboutir,embutir,to cram,Less Common
embrancher,ramificar,to branch,Rare
embraser,encender,to ignite,Less Common
embrasser,besar,to kiss,Very Common
embrayer,embragar,to clutch,Less Common
embrocher,ensartar,to skewer,Rare
embrouiller,confundir,to confuse,Common
embroussailler,enmalezar,to bushwhack,Rare
embrumer,nublar,to fog,Rare
embuer,empañarse,to fog up,Less Common
embusquer,emboscar,to ambush,Less Common
émécher,afeitar,to shave,Rare
émerger,emerger,to emerge,Common
émerveiller,asombrar,to astonish,Common
émettre,emitir,to emit,Very Common
émigrer,emigrar,to emigrate,Less Common
émincer,picar,to mince,Less Common
emmagasiner,almacenar,to store,Less Common
emmailloter,envolver,to wrap,Rare
emmancher,mangonear,to boss,Rare
emmêler,enredar,to tangle,Less Common
emmener,llevar,to take,Very Common
emmieller,mielar,to honey,Rare
emmitoufler,envolver,to wrap up,Less Common
emmurer,emparedar,to wall in,Rare
émonder,mondar,to peel,Rare
émotionner,emocionar,to move,Less Common
émoucher,espolvorear,to dust,Rare
émoudre,moler,to grind,Rare
émousser,embotar,to blunt,Rare
émoustiller,excitar,to excite,Less Common
émouvoir,mover,to move,Very Common
empaler,empalar,to impale,Less Common
empaqueter,empaquetar,to pack,Less Common
emparer,apoderar,to seize,Common
empeserrer,espejar,to reflect,Rare
emplir,llenar,to fill,Less Common
emplumer,emplumar,to feather,Rare
empocher,bolsillar,to pocket,Less Common
empoigner,agarrar,to grab,Less Common
empoisonner,envenenar,to poison,Common
emporter,llevar,to carry,Very Common
emprisonner,encarcelar,to imprison,Common
emprunter,pedir prestado,to borrow,Very Common
émulsionner,emulsionar,to emulsify,Less Common
encadrer,encuadrar,to frame,Very Common
enchaîner,encadenar,to chain,Very Common
enclencher,engranar,to engage,Less Common
enclore,encerrar,to enclose,Rare
encocher,ensamblar,to notch,Rare
endormir,dormir,to sleep,Very Common
énergir,energizar,to energize,Rare
enfermer,encerrar,to lock up,Very Common
enfiler,enhebrar,to thread,Very Common
enfouir,enterrar,to bury,Less Common
enfumer,ahumar,to smoke,Less Common
engager,contratar,to hire,Very Common
engloutir,tragar,to gulp down,Less Common
engraisser,engordar,to fatten,Less Common
enjamber,saltar,to jump,Common
enjoindre,unir,to enjoin,Less Common
enjoliver,embellecer,to embellish,Less Common
enjuponner,,to put on a petticoat,Rare
enkyster,enquistar,to encyst,Rare
enlacer,abrazar,to embrace,Less Common
enlaidir,afear,to make ugly,Less Common
enlever,quitar,to remove,Very Common
enliser,atascar,to bog down,Less Common
enluminer,iluminar,to illuminate,Rare
ennoblir,ennoblecer,to ennoble,Less Common
ennuyer,aburrir,to bore,Very Common
s'ennuyer,aburrirse,to be bored,Common
énoncer,enunciar,to state,Common
enorgueillir,enorgullecer,to make proud,Rare
enquérir,inquirir,to inquire,Rare
enrager,enfurecerse,to enrage,Less Common
enraciner,arraigar,to take root,Less Common
enrayer,erradicar,to eradicate,Less Common
enregistrer,grabar,to record,Very Common
enrhumé,resfriarse,to catch a cold,Less Common
enrouer,,to make hoarse,Rare
enrôler,alistar,to enroll,Less Common
enrouler,enrollar,to roll up,Common
enrubanner,,to adorn with ribbons,Rare
ensabler,,to sand,Rare
ensacher,embolsar,to bag,Rare
ensanglanter,ensangrentar,to cover in blood,Less Common
enseigner,enseñar,to teach,Very Common
ensiler,ensilar,to ensile,Rare
ensommeiller,adormecer,to make sleepy,Rare
ensonoriser,insonorizar,to soundproof,Rare
ensorceler,hechizar,to bewitch,Less Common
entacher,manchar,to stain,Less Common
entailler,cortar,to cut,Less Common
entamer,comenzar,to start,Very Common
entarter,,to cover in tart,Rare
entasser,amontonar,to heap up,Common
entendre,entender,to hear,Very Common
s'entendre,llevarse bien,to get along,Common
enter,enterrar,to bury,Less Common
enterrer,enterrar,to bury,Very Common
entêter,,to make stubborn,Less Common
enthousiasmer,entusiasmar,to enthuse,Less Common
enticher,encapricharse,to become infatuated,Less Common
entôler,,to cover in sheet metal,Rare
entraîner,entrenar,to train,Very Common
s'entraîner,entrenarse,to train oneself,Common
entreapercevoir,entrever,to glimpse,Less Common
entraver,obstaculizar,to hinder,Less Common
entrebâiller,entreabrir,to half-open,Less Common
entrechoquer,entrechocar,to collide,Less Common
entrecouper,entrecortar,to intersperse,Less Common
entrecroiser,entrecruzar,to interlace,Less Common
entre-déchirer,entre-destruir,to tear apart,Rare
entre-détruire,entre-destruir,to destroy each other,Rare
entre-égorger,entre-degollar,to slaughter each other,Rare
entre-frapper,entre-golpear,to hit each other,Rare
entre-haïr,entre-odiar,to hate each other,Rare
entre-heuter,entre-chocar,to bump into each other,Rare
entre-larder,entre-tocinar,to intermix,Rare
entre-mêler,entre-mezclar,to intermingle,Rare
entreposer,almacenar,to store,Common
entreprendre,emprender,to undertake,Very Common
entrer,entrar,to enter,Very Common
entretenir,mantener,to maintain,Very Common
entrevoir,entrever,to glimpse,Common
entrouvrir,entreabrir,to half-open,Common
envahir,invadir,to invade,Very Common
envaser,embalsar,to silt up,Rare
envelopper,envolver,to wrap,Very Common
envenimer,envenenar,to poison,Less Common
envisager,considerar,to consider,Very Common
envier,envidiar,to envy,Common
environner,rodear,to surround,Less Common
envoyer,enviar,to send,Very Common
envoûter,embrujar,to bewitch,Less Common
épancher,derramar,to pour out,Less Common
épargner,ahorrar,to save,Common
éparpiller,esparcir,to scatter,Common
épater,impresionar,to impress,Common
épaule,apoyar,to support,Common
épavner,,to remove debris,Rare
épeler,deletrear,to spell,Common
épicier,,to add spice,Rare
épier,espiar,to spy on,Less Common
épiler,depilar,to depilate,Less Common
épiloguer,,to talk endlessly,Less Common
épingler,prender,to pin,Common
épisser,empalmar,to splice,Rare
épistoler,,to write letters,Rare
épitomiser,epitomizar,to epitomize,Rare
épointer,desbastar,to dull,Rare
éponger,,to sponge,Less Common
épouiller,despiojar,to delouse,Rare
épouser,casarse,to marry,Very Common
épousseter,sacudir,to dust,Less Common
époustoufler,impresionar,to impress,Less Common
épouvanter,asustar,to scare,Less Common
épousser,empapelar,to wrap,Rare
épouventer,asustar,to scare,Rare
éprendre,apasionar,to impassion,Less Common
éprouver,experimentar,to experience,Very Common
épuiser,agotar,to exhaust,Very Common
s'épuiser,agotarse,"to run out, dry up",Very Common
épurer,depurar,to purify,Less Common
épépiner,despepitar,to remove seeds,Rare
équeuter,deshojar,to remove stems,Rare
équarrir,escuadrar,to square off,Rare
équerrer,cuadrar,to square,Rare
équidistancier,equidistanciar,to equidistant,Rare
équiper,equipar,to equip,Very Common
équivaloir,equivaler,to be equivalent to,Less Common
équivoquer,,to equivocate,Rare
érafler,raspar,to scratch,Less Common
ériger,erigir,to erect,Common
éroder,erosionar,to erode,Less Common
errer,errar,to wander,Common
escader,escalar,to climb,Rare
escamoter,escamotear,to make disappear,Less Common
escarper,,to make steep,Rare
escorter,escoltar,to escort,Common
écuiriser,curtisizar,to tan leather,Rare
édifier,edificar,to build,Common
étager,escalonar,to stagger,Less Common
étaler,extender,to spread,Very Common
étalonner,calibrar,calibrate,Less Common
étamer,estañar,tin,Less Common
étancher,apagar,quench,Less Common
étatiser,nacionalizar,nationalize,Less Common
étayer,apuntalar,shore up,Common
éteindre,apagar,turn off,Very Common
éteindre,apagar,turn off,Less Common
éterniser,eternizar,eternalize,Common
éternuer,estornudar,sneeze,Rare
étêter,desmochar,top,Common
étinceler,centellear,sparkle,Rare
étoiler,estrellar,star,Less Common
étiqueter,etiquetar,label,Common
étirer,estirar,stretch,Common
étoffer,engordar,fatten,Very Common
étonner,asombrar,astonish,Very Common
étouffer,sofocar,stifle,Rare
étoupiller,taponar,stopper,Common
étourdir,aturdir,stun,Common
étrangler,estrangular,strangle,Very Common
être,ser,be,Rare
étécir,adelgazar,slim down,Very Common
étendre,extender,extend,Less Common
étriller,frotar,rub,Less Common
étriper,destripar,gut,Rare
étriver,golpear,beat,Rare
étuver,ahumar,steam,Common
évacuer,evacuar,evacuate,Less Common
évader,escapar,escape,Very Common
évaluer,evaluar,evaluate,Less Common
évangéliser,evangelizar,evangelize,Common
évanouir,desvanecer,faint,Less Common
évaporer,evaporar,evaporate,Rare
évaser,ensanchar,widen,Very Common
éveiller,despertar,wake up,Less Common
éventer,ventilar,ventilate,Rare
éventiller,ventear,fan,Less Common
éventrer,destripar,disembowel,Rare
éventuer,ventear,air out,Rare
évidencer,evidenciar,show,Very Common
éviter,evitar,avoid,Very Common
évoluer,evolucionar,evolve,Very Common
évoquer,evocar,evoke,Less Common
exacerber,exacerbar,exacerbate,Very Common
exagérer,exagerar,exaggerate,Less Common
exalter,exaltar,exalt,Very Common
examiner,examinar,examine,Less Common
exaspérer,exasperar,exasperate,Less Common
exaucer,conceder,grant,Common
excéder,exceder,exceed,Common
exceller,sobresalir,excel,Rare
excentrer,excentrar,decentralize,Rare
excepter,exceptuar,except,Common
exciter,excitar,excite,Common
exclamer,exclamar,exclaim,Common
exclure,excluir,exclude,Rare
excursionner,excursionar,hike,Very Common
excuser,excusar,excuse,Very Common
s'excuser,disculparse,to apologize,Common
exécuter,ejecutar,execute,Very Common
exercer,ejercer,exercise,Less Common
exhumer,exhumar,exhume,Rare
exhiler,exilar,exile,Very Common
exiger,exigir,demand,Very Common
exister,existir,exist,Less Common
exonérer,exonerar,exonerate,Less Common
exorciser,exorcizar,exorcise,Less Common
expatrier,expatriar,expatriate,Very Common
expédier,expedir,dispatch,Common
expérimenter,experimentar,experiment,Less Common
expirer,expirar,expire,Very Common
expliquer,explicar,explain,Very Common
exploiter,explotar,exploit,Very Common
explorer,explorar,explore,Very Common
exploser,explotar,explode,Very Common
exporter,exportar,export,Very Common
exposer,exponer,expose,Very Common
exprimer,expresar,express,Less Common
exproprier,expropiar,expropriate,Common
expulser,expulsar,expel,Less Common
exterminer,exterminar,exterminate,Common
extraire,extraer,extract,Less Common
extrapoler,extrapolar,extrapolate,Less Common
exulter,exultar,exult,Very Common
fabriquer,fabricar,manufacture,Common
fâcher,enfadar,anger,Very Common
faciliter,facilitar,facilitate,Common
façonner,dar forma,shape,Common
facturer,facturar,invoice,Rare
fagoter,atrofiar,bundle,Common
faiblir,debilitar,weaken,Common
faillir,fallar,fail,Less Common
fainéanter,holgazanear,laze,Very Common
faire,hacer,do,Very Common
falloir,necesitar,need,Less Common
falsifier,falsificar,falsify,Common
familiariser,familiarizar,familiarize,Rare
fanatiser,fanatizar,fanaticize,Less Common
faner,marchitar,wither,Less Common
fantaser,fantasear,fantasize,Rare
farandoler,farandolear,dance the farandole,Less Common
farcir,rellenar,stuff,Less Common
farder,maquillar,make up,Less Common
farfouiller,hurgar,rummage,Common
fasciner,fascinar,fascinate,Common
fasciser,fascistizar,make fascist,Rare
fataliser,fatalizar,make fatalistic,Rare
fatiguer,fatigar,tire,Very Common
faufiler,escabullirse,sneak,Less Common
favoriser,favorecer,favor,Very Common
féconder,fecundar,fertilize,Less Common
feindre,fingir,pretend,Common
feinter,amagar,feint,Less Common
féliciter,felicitar,congratulate,Very Common
féminiser,feminizar,feminize,Less Common
fendiller,rajadura,crack,Less Common
fendre,partir,split,Common
fermenter,fermentar,ferment,Less Common
fermer,cerrar,close,Very Common
étalonner,calibrar,calibrate,Less Common
étamer,estañar,tin,Less Common
étancher,apagar,quench,Less Common
étatiser,nacionalizar,nationalize,Less Common
étayer,apuntalar,shore up,Common
éteindre,apagar,turn off,Very Common
éteindre,apagar,turn off,Less Common
éternuer,estornudar,sneeze,Common
étêter,desmochar,top,Rare
étinceler,centellear,sparkle,Common
étoiler,estrellar,star,Rare
étiqueter,etiquetar,label,Less Common
étirer,estirar,stretch,Common
étoffer,engordar,fatten,Common
étonner,asombrar,astonish,Very Common
étouffer,sofocar,stifle,Very Common
étoupiller,taponar,stopper,Rare
étrangler,estrangular,strangle,Common
être,ser,be,Very Common
étécir,adelgazar,slim down,Rare
étendre,extender,extend,Very Common
étriller,frotar,rub,Less Common
étriper,destripar,gut,Less Common
étriver,golpear,beat,Rare
étuver,ahumar,steam,Rare
évacuer,evacuar,evacuate,Common
évader,escapar,escape,Less Common
évaluer,evaluar,evaluate,Very Common
évangéliser,evangelizar,evangelize,Less Common
évanouir,desvanecer,faint,Common
évaporer,evaporar,evaporate,Less Common
évaser,ensanchar,widen,Rare
éveiller,despertar,wake up,Very Common
éventer,ventilar,ventilate,Less Common
éventiller,ventear,fan,Rare
éventrer,destripar,disembowel,Less Common
éventuer,ventear,air out,Rare
évidencer,evidenciar,show,Rare
éviter,evitar,avoid,Very Common
évoluer,evolucionar,evolve,Very Common
évoquer,evocar,evoke,Very Common
exacerber,exacerbar,exacerbate,Less Common
exagérer,exagerar,exaggerate,Very Common
exalter,exaltar,exalt,Less Common
examiner,examinar,examine,Very Common
exaspérer,exasperar,exasperate,Less Common
exaucer,conceder,grant,Less Common
excéder,exceder,exceed,Common
exceller,sobresalir,excel,Common
excentrer,excentrar,decentralize,Rare
excepter,exceptuar,except,Rare
exciter,excitar,excite,Common
exclamer,exclamar,exclaim,Common
exclure,excluir,exclude,Common
excursionner,excursionar,hike,Rare
excuser,excusar,excuse,Very Common
exécuter,ejecutar,execute,Very Common
exercer,ejercer,exercise,Very Common
exhumer,exhumar,exhume,Less Common
exhiler,exilar,exile,Rare
exiger,exigir,demand,Very Common
exister,existir,exist,Very Common
exonérer,exonerar,exonerate,Less Common
exorciser,exorcizar,exorcise,Less Common
expatrier,expatriar,expatriate,Less Common
expédier,expedir,dispatch,Very Common
expérimenter,experimentar,experiment,Common
expirer,expirar,expire,Less Common
expliquer,explicar,explain,Very Common
exploiter,explotar,exploit,Very Common
explorer,explorar,explore,Very Common
exploser,explotar,explode,Very Common
exporter,exportar,export,Very Common
exposer,exponer,expose,Very Common
exprimer,expresar,express,Very Common
exproprier,expropiar,expropriate,Less Common
expulser,expulsar,expel,Common
exterminer,exterminar,exterminate,Less Common
extraire,extraer,extract,Common
extrapoler,extrapolar,extrapolate,Less Common
exulter,exultar,exult,Less Common
fabriquer,fabricar,manufacture,Very Common
fâcher,enfadar,anger,Common
faciliter,facilitar,facilitate,Very Common
façonner,dar forma,shape,Common
facturer,facturar,invoice,Common
fagoter,atrofiar,bundle,Rare
faiblir,debilitar,weaken,Common
faillir,fallar,fail,Common
fainéanter,holgazanear,laze,Less Common
faire,hacer,do,Very Common
faire naître,dar lugar a,give rise to,Less Common
falloir,necesitar,need,Very Common
falsifier,falsificar,falsify,Less Common
familiariser,familiarizar,familiarize,Common
fanatiser,fanatizar,fanaticize,Rare
faner,marchitar,wither,Less Common
fantaser,fantasear,fantasize,Less Common
farandoler,farandolear,dance the farandole,Rare
farcir,rellenar,stuff,Less Common
farder,maquillar,make up,Less Common
farfouiller,hurgar,rummage,Less Common
fasciser,fascistizar,make fascist,Rare
fataliser,fatalizar,make fatalistic,Rare
fatiguer,fatigar,tire,Very Common
faufiler,escabullirse,sneak,Less Common
favoriser,favorecer,favor,Very Common
féconder,fecundar,fertilize,Less Common
feindre,fingir,pretend,Common
feinter,amagar,feint,Less Common
féliciter,felicitar,congratulate,Very Common
féminiser,feminizar,feminize,Less Common
fendiller,rajadura,crack,Less Common
fendre,partir,split,Common
fermenter,fermentar,ferment,Less Common
fermer,cerrar,close,Very Common
ferrer,ferrar,shoe (horse),Less Common
fertiliser,fertilizar,fertilize,Less Common
festonner,adornar,scallop,Rare
fêter,celebrar,celebrate,Very Common
feuilleter,hojear,leaf through,Common
feuler,bufar,hiss,Rare
feutrer,feltrar,felt,Less Common
fiancer,comprometerse,get engaged,Less Common
ficeler,atar,tie up,Less Common
ficher,archivar,file,Common
fier,confiar,trust,Less Common
figer,congelar,freeze,Common
fignoler,afinar,fine-tune,Less Common
figurer,figurar,to figure,Very Common
filer,hilar,to spin,Very Common
fileter,filetear,to fillet,Rare
filmer,filmar,to film,Common
filtrer,filtrar,to filter,Common
financer,financiar,to finance,Very Common
finasser,hacer trampas,to cheat,Rare
finir,terminar,to finish,Very Common
fissurer,fisurar,to crack,Less Common
fixer,fijar,to fix,Very Common
flageller,flagelar,to flog,Rare
flageoler,tambalear,to stagger,Rare
flairer,olfatear,to sniff,Common
flamber,flamear,to blaze,Common
flamboyer,flamear,to blaze,Less Common
flancher,flaquear,to falter,Rare
flâner,deambular,to stroll,Common
flatter,halagar,to flatter,Common
flécher,señalar con flechas,to mark with arrows,Rare
fléchir,flexionar,to bend,Common
flétrir,marchitar,to wither,Less Common
fleurer,florecer,to bloom,Less Common
fleurir,florecer,to flower,Common
flirter,coquetear,to flirt,Common
floconner,formarse copos,to form into flakes,Rare
floquer,flocar,to flock,Rare
flotter,flotar,to float,Common
flouer,estafar,to swindle,Rare
fluctuer,fluctuar,to fluctuate,Common
fluidifier,fluidificar,to fluidify,Less Common
flûter,tocar la flauta,to play the flute,Rare
focaliser,focalizar,to focus,Common
foisonner,abundar,to abound,Less Common
folâtrer,retozar,to frolic,Rare
folioter,foliolar,to paginate,Rare
fomenter,fomentar,to foment,Less Common
foncer,oscurecer,to darken,Common
fonctionner,funcionar,to function,Very Common
fonder,fundar,to found,Very Common
forcer,forzar,to force,Very Common
forcier,fortificar,to fortify,Rare
forer,perforar,to bore,Less Common
forger,forjar,to forge,Common
formaliser,formalizar,to formalize,Common
former,formar,to form,Very Common
formoler,formaldehído,to formaldehyde,Rare
formuler,formular,to formulate,Very Common
fortifier,fortificar,to fortify,Less Common
fossiliser,fosilizar,to fossilize,Less Common
fossoyer,excavar,to dig,Rare
foudroyer,fulminar,to strike down,Less Common
fouetter,azotar,to whip,Common
fouiller,registrar,to search,Very Common
fouiner,husmear,to snoop,Less Common
fouir,cavar,to dig,Rare
fouler,pisar,to trample,Less Common
fourbir,pulir,to polish,Less Common
fourcher,bifurcar,to fork,Rare
fourgonner,revolver,to rummage,Rare
fourmiller,hormiguear,to swarm,Less Common
fournir,suministrar,to supply,Very Common
fourrager,pacer,to forage,Rare
fourrer,meter,to stuff,Common
fourvoyer,extraviar,to mislead,Less Common
fracasser,destrozar,to smash,Less Common
fractionner,fraccionar,to fraction,Less Common
fracturer,fracturar,to fracture,Common
fragiliser,debilitar,to weaken,Less Common
fragmenter,fragmentar,to fragment,Less Common
fraîchir,refrescar,to cool,Rare
fraiser,fresar,to mill,Rare
franchir,cruzar,to cross,Very Common
frapper,golpear,to hit,Very Common
fraterniser,confraternizar,to fraternize,Less Common
frauder,defraudar,to defraud,Less Common
frayer,abrir camino,to clear a path,Less Common
fredonner,tararear,to hum,Less Common
freiner,frenar,to brake,Common
frelater,adulterar,to adulterate,Rare
frémir,temblar,to tremble,Common
fréquenter,frecuentar,to frequent,Very Common
frétiller,agitarse,to twitch,Less Common
frictionner,frotar,to rub,Less Common
frigorifier,refrigerar,to refrigerate,Rare
frire,freír,to fry,Common
friser,rizar,to curl,Common
frisotter,rizarse,to frizz,Less Common
frissonner,temblar,to shiver,Common
froisser,arrugar,to wrinkle,Common
frôler,rozar,to graze,Common
froncer,fruncir,to frown,Common
fronder,criticar,to criticize,Rare
frotter,frotar,to rub,Common
fructifier,fructificar,to bear fruit,Less Common
frustrer,frustrar,to frustrate,Common
fuguer,fugarse,to run away,Less Common
fuir,huir,to flee,Very Common
fulminer,fulminar,to fulminate,Less Common
fumer,fumar,to smoke,Very Common
fureter,husmear,to snoop,Rare
fuseler,afilar,to taper,Rare
fuser,disparar,to shoot,Common
fusiller,fusilar,to shoot,Common
fusionner,fusionar,to merge,Common
fustiger,fustigar,to castigate,Less Common
gâcher,estropear,to spoil,Common
gager,empeñar,to pawn,Less Common
gagner,ganar,to win,Very Common
gainer,enfundar,to sheathe,Rare
galber,arquear,to arch,Rare
galéjer,bromear,to joke,Rare
galonner,engalonar,to braid,Rare
galoper,galopar,to gallop,Common
galvaniser,galvanizar,to galvanize,Less Common
galvauder,malgastar,to waste,Rare
gambader,retozar,to gambol,Less Common
gambergeailler,divagar,to ramble,Rare
gangrener,gangrenar,to gangrene,Rare
ganser,bordar,to bind,Rare
ganter,enguantarse,to glove,Less Common
garantir,garantizar,to guarantee,Very Common
garder,guardar,to keep,Very Common
garer,aparcar,to park,Common
garrotter,garrotear,to garrote,Rare
